VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-11-01 00:30:41,2019-11-01 00:32:25,1,.00,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2019-11-01 00:34:01,2019-11-01 00:34:09,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2019-11-01 00:41:59,2019-11-01 00:42:23,1,.00,1,N,193,193,1,2.5,0.5,0.5,0.95,0,0.3,4.75,0
2,2019-11-01 00:02:39,2019-11-01 00:02:51,1,.00,1,N,193,193,1,2.5,0.5,0.5,0.95,0,0.3,4.75,0
2,2019-11-01 00:18:30,2019-11-01 00:18:39,2,.00,1,N,226,226,2,2.5,0,0.5,0,0,0.3,3.3,0
1,2019-11-01 00:35:48,2019-11-01 01:13:12,1,8.50,1,N,138,161,1,32,3,0.5,8.35,6.12,0.3,50.27,2.5
1,2019-11-01 00:02:59,2019-11-01 00:05:26,1,.30,1,N,239,142,2,3.5,3,0.5,0,0,0.3,7.3,2.5
1,2019-11-01 00:11:43,2019-11-01 00:19:43,1,1.90,1,N,142,262,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,2019-11-01 00:11:34,2019-11-01 00:18:02,1,.50,1,N,246,186,2,5.5,3,0.5,0,0,0.3,9.3,2.5
1,2019-11-01 00:54:04,2019-11-01 01:05:24,2,2.40,1,N,246,239,1,10,3,0.5,2.75,0,0.3,16.55,2.5
1,2019-11-01 00:33:59,2019-11-01 00:39:56,1,1.60,1,N,50,238,1,7,3,0.5,2.15,0,0.3,12.95,2.5
1,2019-11-01 00:52:02,2019-11-01 01:35:35,1,9.30,1,N,48,61,1,33.5,3,0.5,7.45,0,0.3,44.75,2.5
1,2019-11-01 00:15:08,2019-11-01 00:19:25,1,.60,1,N,142,239,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2019-11-01 00:23:14,2019-11-01 00:36:08,1,1.90,1,N,142,186,1,11,3,0.5,2.95,0,0.3,17.75,2.5
1,2019-11-01 00:47:26,2019-11-01 00:59:08,1,2.10,1,N,163,170,1,10,3,0.5,2.75,0,0.3,16.55,2.5
1,2019-11-01 00:46:10,2019-11-01 00:50:25,1,.90,1,N,148,114,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2019-11-01 00:56:29,2019-11-01 01:26:01,2,8.50,1,N,234,116,2,28.5,3,0.5,0,0,0.3,32.3,2.5
1,2019-11-01 00:22:06,2019-11-01 00:30:18,2,1.20,1,N,48,161,1,7.5,3,0.5,3.35,0,0.3,14.65,2.5
1,2019-11-01 00:50:35,2019-11-01 01:03:00,1,1.60,1,N,246,249,3,9.5,3,0.5,0,0,0.3,13.3,2.5
2,2019-11-01 00:13:59,2019-11-01 00:17:32,1,.89,1,N,233,229,1,5,0.5,0.5,1,0,0.3,9.8,2.5
2,2019-11-01 00:23:34,2019-11-01 00:44:39,1,5.39,1,N,152,220,2,19.5,0.5,0.5,0,0,0.3,20.8,0
1,2019-11-01 00:16:01,2019-11-01 01:05:18,0,19.90,2,N,132,48,4,52,2.5,0.5,0,0,0.3,55.3,2.5
1,2019-11-01 00:21:44,2019-11-01 00:38:06,1,4.40,1,N,79,262,1,15.5,3,0.5,3.85,0,0.3,23.15,2.5
1,2019-11-01 00:41:42,2019-11-01 00:44:25,1,.40,1,N,262,263,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,2019-11-01 00:32:28,2019-11-01 00:42:34,2,1.10,1,N,230,186,2,8,3,0.5,0,0,0.3,11.8,2.5
2,2019-11-01 00:49:12,2019-11-01 01:07:38,1,3.24,1,N,24,262,1,14.5,0.5,0.5,2.74,0,0.3,21.04,2.5
1,2019-11-01 00:13:01,2019-11-01 00:21:54,3,1.10,1,N,164,246,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2019-11-01 00:24:00,2019-11-01 00:31:49,3,.90,1,N,246,68,1,6.5,3,0.5,0,0,0.3,10.3,2.5
1,2019-11-01 00:39:21,2019-11-01 00:44:02,2,.90,1,N,100,170,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2019-11-01 00:55:29,2019-11-01 01:10:44,1,1.60,1,N,164,158,1,10.5,3,0.5,4.25,0,0.3,18.55,2.5
1,2019-11-01 00:21:01,2019-11-01 00:32:06,2,1.80,1,N,246,113,1,9,3,0.5,1.5,0,0.3,14.3,2.5
1,2019-11-01 00:34:38,2019-11-01 00:49:31,1,2.60,1,N,162,79,1,12,3,0.5,3.15,0,0.3,18.95,2.5
1,2019-11-01 00:50:41,2019-11-01 01:07:54,1,3.30,1,N,79,48,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
1,2019-11-01 00:19:04,2019-11-01 00:30:04,1,1.60,1,N,243,136,1,9,0.5,0.5,0,0,0.3,10.3,0
1,2019-11-01 00:31:27,2019-11-01 00:52:02,0,6.50,1,N,138,80,1,21.5,0.5,0.5,4.55,0,0.3,27.35,0
1,2019-11-01 00:01:43,2019-11-01 00:19:15,1,2.00,1,N,114,170,1,12,3,0.5,3.15,0,0.3,18.95,2.5
1,2019-11-01 00:30:12,2019-11-01 00:54:17,2,4.30,1,N,230,41,2,19,3,0.5,0,0,0.3,22.8,2.5
1,2019-11-01 00:15:33,2019-11-01 00:28:39,1,3.70,1,N,170,238,2,13,3,0.5,0,0,0.3,16.8,2.5
1,2019-11-01 00:36:57,2019-11-01 00:43:39,1,1.10,1,N,142,48,1,6.5,3,0.5,2.06,0,0.3,12.36,2.5
2,2019-11-01 00:18:29,2019-11-01 00:40:37,1,4.75,1,N,125,112,1,19.5,0.5,0.5,5.82,0,0.3,29.12,2.5
2,2019-11-01 00:10:40,2019-11-01 00:23:30,1,3.41,1,N,164,236,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
2,2019-11-01 00:42:10,2019-11-01 01:05:53,4,4.15,1,N,50,114,1,17.5,0.5,0.5,4.26,0,0.3,25.56,2.5
